,Alcohol,Appellation,Category,Points,Price,Review,Wine,Winery,Year,Variety,State
335,14.9,"Calistoga, Napa, California, US",Red,91,95.0,"From a valley floor vineyard in the warmer northern climes of the valley, this 100% varietal red is broad and generous in black brambly fruit that veers into a rich rounded taste of vanilla. Soft texture makes it approachable and enjoyable in its youth.",Davies 2015 Winfield Vineyard Cabernet Sauvignon (Calistoga),Davies,2015.0,Cabernet Sauvignon,California
336,13.9,Ektimo Vineyards,White,91,22.0,"Sizzling acidity greets the palate immediately in this medium-bodied white that makes a good first impression and supports it with well-defined flavors of lemon, lime and green apple. The finish teases further in white peach.",Ektimo Vineyards 2016 Sauvignon Blanc (Russian River Valley),Ektimo Vineyards,2016.0,Sauvignon Blanc,
337,14.3,"Redwood Valley, Mendocino County, California, US",Red,91,28.0,"Very pure and deep black-cherry flavors highlight this inky-colored and full-bodied wine. It's packed with layers of very ripe cherry, plum and blackberry and wrapped in thick velvety tannins for a full mouthfeel.",Jigar 2015 Tollini Vineyard Syrah (Redwood Valley),Jigar,2015.0,Syrah,California
338,13.7,"Sonoma County-Monterey County, California Other, California, US",White,91,24.0,"The grapes for this wine come 83% from Sonoma County, the remainder mostly from Monterey, with just 2% from Mendocino. It's made in a quenching style of succulent acidity and nuanced flavors of fig, quince and Meyer lemon, the backbone nicely rich in graham cracker.",La Follette 2016 Los Primeros Chardonnay (Sonoma County-Monterey County),La Follette,2016.0,Chardonnay,California
339,14.5,Maddalena,Red,91,18.0,"A deep red-berry aroma meets with mocha and toasty oak on the richly layered nose of this bottling by the Riboli family. There is solid complexity to the palate, with chalky tannins sitting beside more cocoa, red fruit and light caramel. This is an affordable wine to lay down. Drink now–2029.",Maddalena 2014 Cabernet Sauvignon (Paso Robles),Maddalena,2014.0,Cabernet Sauvignon,
340,14.5,"Monterey, Central Coast, California, US",Red,91,35.0,"A bright raspberry aroma meets accents of hibiscus tea, turned soil and wet rock on the nose. The palate brings broad flavors of sour cherry and thyme that are enhanced by peppery spice and a grippy texture.",Metz Road 2016 Riverview Vineyard Estate Grown Pinot Noir (Monterey),Metz Road,2016.0,Pinot Noir,California
341,14.5,Mount Veeder,Red,91,44.0,"Brawny layers of blueberry and blackberry show in this broad and textured wine. Supple yet powerful tannins frame flavors of cedar, sage and cinnamon, which it an attractive, appealing vibe.",Mount Veeder 2015 Cabernet Sauvignon (Napa Valley),Mount Veeder,2015.0,Cabernet Sauvignon,
342,14.4,"Santa Lucia Highlands, Central Coast, California, US",Red,91,100.0,"Boysenberry and slate are lifted by baking spice on the nose of this bottling, which is being released later than the 2016 vintage. Tart plum-skin and floral flavors play on the palate, which is not as dense as usual but is still a strong wine.",Patz & Hall 2015 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),Patz & Hall,2015.0,Pinot Noir,California
343,13.6,"Anderson Valley, Mendocino County, California, US",White,91,35.0,"Great balance and freshness make this medium-bodied wine very appealing. It has lively acidity, just-ripe citrus and green-apple flavors and a mouthfeel that's both full and a bit tangy at the same time. It comes from the family that founded Navarro.",Pennyroyal Farm 2016 Hammer Olsen Chardonnay (Anderson Valley),Pennyroyal Farm,2016.0,Chardonnay,California
344,14.1,Perfusion,Red,91,36.0,"From a small vineyard in the East Bay, this bottling offers snappy black-raspberry, rose-petal and peppercorn aromas on a light but expressive nose. There is a herbal tinge on the palate, with thyme and sagebrush flavors, as well as more berry. The structure and acidity are in balance.",Perfusion 2016 Pinot Noir (San Francisco Bay),Perfusion,2016.0,Pinot Noir,
345,12.9,"Santa Maria Valley, Central Coast, California, US",White,91,38.0,"Housed in a classic green-glass bottle, this appellation blend offers aromas of lime blossom, sharp citrus rind, burnt almond and chalk. The palate is very racy and sharp with mouthwateringly sour citrus and wound-up pome fruit flavors.",Scar of the Sea 2016 Seven Leagues Chardonnay (Santa Maria Valley),Scar of the Sea,2016.0,Chardonnay,California
346,13.5,Terra d'Oro,Red,91,18.0,"An exotic earthy character dominates this dark-colored, full-bodied and firmly tannic wine, giving it a rustic feral appeal that gets progressively more enjoyable on the palate and finish. Blackberry and blueberry flavors underneath add to its appeal. Best after 2023.",Terra d'Oro 2016 Petite Sirah (Amador County),Terra d'Oro,2016.0,Petite Sirah,
347,13.9,"Willamette Valley, Willamette Valley, Oregon, US",White,91,45.0,"Now designated as part of the single-vineyard series, this rich wine is packed with ripe flavors of peach, apricot and honeysuckle. There's a streak of vanilla cream which adds to the lush mouthfeel. This will appeal to those who love a buttery, decadent style, with enough acidity to keep it lively.",Willamette Valley Vineyards 2016 Tualatin Estate Chardonnay (Willamette Valley),Willamette Valley Vineyards,2016.0,Chardonnay,Oregon
348,12.0,"Sonoma Valley, Sonoma, California, US",White,91,28.0,"Waxy and mineral, this delightful white has a bright high-acid freshness and a texture of stone. Lemon, quince and apricot factor into the flavor profile with an exotic complexity and undeniable drinkability.",Anaba 2017 Snow Vineyard Picpoul Blanc (Sonoma Valley),Anaba,2017.0,Other White,California
349,15.1,"Yakima Valley, Columbia Valley, Washington, US",Red,91,60.0,"The aromas draw you into the glass, with notes of flower, fresh and dried herb, wet iron and blue and purple fruit. There's a pretty sense of purity and richness to the tightly wound blue fruit flavors, though they bring a bit of alcoholic heft along with them. Smoked meat notes linger on the finish.",Avennia 2016 Arnaut Boushey Vineyard Syrah (Yakima Valley),Avennia,2016.0,Syrah,Washington
350,12.5,"Yakima Valley, Columbia Valley, Washington, US",White,91,28.0,"Boushey Vineyard makes up the 70% majority of this wine, with the rest coming from Red Willow. Barrel fermented with native yeast, the aromas are light on first pour, with notes of lemon verbena, lemon oil and herb. The flavors are tart, racy and acid driven, with a long, drawn out finish. It's elegant and subtle, with pleasing complexities to be had. Give it some additional time in bottle to see it at its best.",Avennia 2017 Oliane Sauvignon Blanc (Yakima Valley),Avennia,2017.0,Sauvignon Blanc,Washington
351,13.9,"Santa Cruz Mountains, Central Coast, California, US",Red,91,60.0,"Intense boysenberry aromas meet with slate, soil and a hint of char on the nose of this expression of the historic clone. It's still very young and shy on the palate, yet the elegant black-raspberry and dried herb flavors emerge with patience and air.",Bargetto 2017 Mount Eden Clone Pinot Noir (Santa Cruz Mountains),Bargetto,2017.0,Pinot Noir,California
352,11.5,"Eola-Amity Hills, Willamette Valley, Oregon, US",White,91,24.0,"These 33-year-old vines have been ripened to spätlese sweetness and left hanging in the balance between sweet and tart. The peach and papaya fruit flavors come with ample acidity, finishing with the flavor of sweet lemon tea.",Brooks 2016 Bois Joli Vineyard Riesling (Eola-Amity Hills),Brooks,2016.0,Riesling,Oregon
353,12.6,"Finger Lakes, Finger Lakes, New York, US",White,91,18.0,"A well-honed mix of ripe peach and tangerine mix with underscores of white blossoms and slate. The palate is broadly concentrated in ripe fruit flavors of tart kumquat and passion fruit that are struck against a taut, astringent sensation. Persistent bursts of acidity keep this both succulent and tense, making the palate beg for more.",Empire Estate 2017 Dry Riesling (Finger Lakes),Empire Estate,2017.0,Riesling,New York
354,14.5,"Carneros, Napa-Sonoma, California, US",White,91,65.0,"Oaky and reduced, this wine has a nose of honey and heady ginger, with lemongrass and nutmeg spice. Bold concentrated flavors of apple and fig follow. The wine is made in a big bold style that's done well and richly ripe.",Frank Family 2016 Lewis Vineyard Reserve Chardonnay (Carneros),Frank Family,2016.0,Chardonnay,California
355,15.2,Jaffurs,Red,91,34.0,"Rarely is Grenache the best grape to lay down in the cellar, but this bottling has the bones and pedigree to qualify. Plump berry, cherry and red-currant fruits have a floral edge on the nose, while the palate is very grippy with tannins that hold the sumac and tart cherry flavors tightly. Drink 2020–2026.",Jaffurs 2016 Grenache (Santa Barbara County),Jaffurs,2016.0,Grenache,
356,14.5,"Carmel Valley, Central Coast, California, US",Red,91,29.0,"Though predominantly Zinfandel, this field blend from a vineyard planted in 1984 by Dick Sias also includes Primitivo, Aleatico, Alicante Bouschet, Carignan, Grenache and Petite Sirah, and is a great taste of the past. Blackberry, thyme and dried mint aromas drop into a palate of black plum, loamy soil, dried herbs and cocoa. This is full bodied and well layered.",Joullian 2014 Sias Cuvée Zinfandel (Carmel Valley),Joullian,2014.0,Zinfandel,California
357,13.2,"Willamette Valley, Willamette Valley, Oregon, US",White,91,28.0,"Pinot Gris has been a Lange highlight since the winery was founded in 1987. For the first time, a portion of this vintage was aged in concrete egg. It takes some time to open up, then does so with a burst of a lemon drop flavor. It's a tart and juicy style, with excellent pull through to a long, minerally finish.",Lange 2017 Reserve Pinot Gris (Willamette Valley),Lange,2017.0,Pinot Gris,Oregon
358,13.9,"Sta. Rita Hills, Central Coast, California, US",White,91,28.0,"Young winemaker Gretchen Voelcker got her hands on some rare fruit for this bottling, which shows edgy aromas of crushed rock, flint, smoked apple and citrus peel on the nose. There is an immensely chalky tension to the palate, where yellow-apple and grapefruit-rind flavors wrestle for attention.",Luna Hart 2017 Fiddlestix Vineyard Grüner Veltliner (Sta. Rita Hills),Luna Hart,2017.0,Grüner Veltliner,California
359,14.0,"Santa Barbara County, Central Coast, California, US",Red,91,28.0,"Doug Margerum is capturing the freshness of Rhône varieties like few others in California, as evidenced in this twist-top blend of 44% Grenache, 37% Syrah, 11% Mourvèdre, 4% Counoise and 4% Cinsaut. Aromas of zesty rosewater, raspberry and a hint of smoke lead into a palate that's zippy with joyous flavors of red fruit, sumac and white pepper.",Margerum 2017 M5 Red (Santa Barbara County),Margerum,2017.0,Rhône-style Red Blend,California
360,14.8,"Napa Valley, Napa, California, US",Red,91,75.0,"Bright fresh acidity wraps around darker denser flavors of blueberry, black cherry and black currant in this vineyard-designate, which is full bodied in style. It has appealing elements of dried herb and clove.",Peter Paul Wines 2014 Giuliani Vineyard Cabernet Sauvignon (Napa Valley),Peter Paul Wines,2014.0,Cabernet Sauvignon,California
361,14.8,"Elkton Oregon, Southern Oregon, Oregon, US",White,91,18.0,"Mike Landt makes an amazingly deep, ripe Sauvignon Blanc, especially given his cool-climate location. It is rich and textural, with dense fruit flavors of melon, grapefruit and kiwi and a lush and creamy mouthfeel.",River's Edge 2017 Vintage Farm Vineyard Sauvignon Blanc (Elkton Oregon),River's Edge,2017.0,Sauvignon Blanc,Oregon
362,14.3,Rowdy Bush,Red,91,15.0,"A beefy, savory aspect gives this concentrated and full-bodied wine some nice complexity. Its richly layered tannins coat the mouth while deep and persistent blueberry and blackberry flavors taste compelling and delicious. Best after 2023.",Rowdy Bush 2016 Petite Sirah (Lodi),Rowdy Bush,2016.0,Petite Sirah,
363,14.2,"Adelaida District, Central Coast, California, US",Red,91,45.0,"A 100% whole-cluster bottling from Glenrose Vineyard, this whimsically labeled wine combines dark black currant and blackberry on the nose with saddle leather and earthy aromas. The palate is very earthy as well, with stewed black-plum and turned loam flavors.",Saint K 2017 Dial Tone Mourvèdre (Adelaida District),Saint K,2017.0,Mourvèdre,California
364,14.5,"San Luis Obispo, Central Coast, California, US",Red,91,22.0,"This twist-top blend of various vineyards is an affordable and excellent way to get a taste of what this historic winery is up to. Aromas of black raspberry, turned loam and savory dried meats lead into a tense palate that bursts with berry and is layered with black rock minerality.",Saucelito Canyon 2016 Backroads Zinfandel (San Luis Obispo),Saucelito Canyon,2016.0,Zinfandel,California
365,14.5,"Paso Robles, Central Coast, California, US",Red,91,40.0,"Woody aromas frame the blackberry-jam and vanilla-cookie scents on the nose of this blend of 43% Cabernet Sauvignon, 33% Primitivo and 24% Merlot. Concentrated flavors of blackberry and black-plum jam are leveled by pine-needle herbs on the rich palate.",Sculpterra 2015 Figurine Red (Paso Robles),Sculpterra,2015.0,Red Blend,California
366,14.5,"Calistoga, Napa, California, US",Red,91,160.0,"Inviting in rich layers that taste of cinnamon toast, dusty black fruit and clove, this is a powerfully built and nicely layered wine that has tannic structure to spare.",Summers 2014 Checkmate Cabernet Sauvignon (Calistoga),Summers,2014.0,Cabernet Sauvignon,California
367,14.8,"Santa Ynez Valley, Central Coast, California, US",Red,91,48.0,"A smooth black-cherry aroma meets with a touch of red flower on the nose of this Merlot, which is blended with 25% Sangiovese. The broad mouthfeel and tannic tension carry flavors of baking spice and dark fruit.",McClain Cellars 2016 Purpose Road Merlot (Santa Ynez Valley),McClain Cellars,2016.0,Merlot,California
368,18.5,"Eola-Amity Hills, Willamette Valley, Oregon, US",Dessert,90,27.0,"This fortified rosé is in its own class. With 110 g/L of residual sugar and 18.5% alcohol, this is close to a Port in its overall makeup. It has concentrated flavors of marzipan, candied fruits, orange marmalade and rock candy. Drink now and over the next five years.",Björnson 2016 Ratafia Rosé (Eola-Amity Hills),Björnson,2016.0,Rosé,Oregon
369,14.4,"Red Mountain, Columbia Valley, Washington, US",Red,90,45.0,"This wine is a blend of 46% Cabernet Sauvignon, 35% Cabernet Franc and 19% Merlot. The aromas are locked up at present, with notes of herb, flower, mineral and black fruit. The palate is incredibly tightly wound, full of dark fruit flavors and firm tannins. It needs time in the cellar to come together. Best after 2022.",Cadence 2015 Tapteil Vineyard Red (Red Mountain),Cadence,2015.0,Red Blend,Washington
370,13.3,Carlton Cellars,White,90,18.0,"Sourced from eight-year-old vines, this tangy young wine is bursting with tart grapefruit and pineapple fruit. It's leesy and refreshing, with underlying minerality and bountiful acidity.",Carlton Cellars 2017 Pinot Blanc (Yamhill-Carlton),Carlton Cellars,2017.0,Pinot Blanc,
371,14.5,"Napa Valley, Napa, California, US",White,90,50.0,"In this lovely and complex white from estate fruit, winemaker Elizabeth Vianna blends 79% Sauvignon Blanc with 21% Sauvignon Gris to offer an intense, ripe and thick-bodied wine that's lush and layered. The fruit is a mix of green apple and quince.",Chimney Rock 2016 Elevage Blanc Estate Grown White (Napa Valley),Chimney Rock,2016.0,White Blend,California
372,12.0,"Carneros, Napa-Sonoma, California, US",Sparkling,90,33.0,"This is made from a majority of Pinot Noir alongside Chardonnay and Pinot Gris. Aged three-and-a-half years in bottle, it's complex and approachable in equal measure. Cherry, peach and a twist of lime round out the lush palate, with integrated acidity underlining its freshness.",Domaine Carneros 2014 Brut Cuvée Sparkling (Carneros),Domaine Carneros,2014.0,Sparkling Blend,California
373,13.9,"Edna Valley, Central Coast, California, US",White,90,40.0,Walnut and toasted oak aromas meet with poached and roasted apples on the nose. Flavors of sliced yellow pear and honeysuckle sit atop a rocky mineral note on the palate.,Edna Valley Vineyard 2016 Winemaker Series Heritage Chardonnay (Edna Valley),Edna Valley Vineyard,2016.0,Chardonnay,California
374,14.1,Firestone,Red,90,15.0,"Black cherry, cocoa and turned loam aromas show on the nose. Bright berry and cherry flavors meet with tobacco and ancho chile dust on the palate.",Firestone 2016 Cabernet Sauvignon (Paso Robles),Firestone,2016.0,Cabernet Sauvignon,
375,13.5,Franciscan,Red,90,23.0,"This is a finely made wine, blended with 10% Merlot and smaller bits of Petit Verdot and Malbec. It offers silky tannins and lovely notes of dried herb, sage, black cherry and blackberry. The finish is dusted in cocoa powder.",Franciscan 2015 Cabernet Sauvignon (Napa Valley),Franciscan,2015.0,Cabernet Sauvignon,
376,14.3,"Sonoma Coast, Sonoma, California, US",Red,90,68.0,"Mint, lavender and rose-petal aromas make for an exotic floral entry as substantial tannins and body weight build strength on the palate. Well made, the wine is robust in dark-cherry fruit and a lasting note of toasted oak.",Fulcrum 2016 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Fulcrum,2016.0,Pinot Noir,California
377,15.8,"Paso Robles, Central Coast, California, US",Red,90,30.0,"Smoothed-out aromas of caramelized blackberry, vanilla and purple flowers make for a very full and inviting nose on this bottling. Black-cherry, baking-spice and mocha-cappuccino flavors show on the lush and hedonistic palate, which is hard not to like.",J. Lohr 2016 Gesture Syrah (Paso Robles),J. Lohr,2016.0,Syrah,California
378,13.2,"Santa Barbara County, Central Coast, California, US",White,90,27.0,"Crisp aromas of nectarine meet with riper melon and chalky tension on the nose of this bottling. The palate is very restrained at first but then allows smooth with flavors of melon, papaya and lime rind to take over.",Jaffurs 2017 Thompson Vineyard Grenache Blanc (Santa Barbara County),Jaffurs,2017.0,Grenache,California
379,14.8,Joseph Cellars,Red,90,55.0,"Tight in tannin structure and reductive qualities, this opens slowly to offer a robust ripeness and intensity of strawberry and cherry jam. Dark chocolate and black tea season the lengthy finish.",Joseph Cellars 2016 Pinot Noir (Russian River Valley),Joseph Cellars,2016.0,Pinot Noir,
380,12.6,"Eola-Amity Hills, Willamette Valley, Oregon, US",Rose,90,24.0,"This is best viewed as a rosé, as the three-day cold soak prior to fermentation has pulled a lovely copper color out of the Pinot Gris. It's bright and lively, with spicy cinnamon and a core of baked apple. It lingers nicely, adding pekoe tea and a touch of caramel.",Keeler 2017 Skin Contact Pinot Gris (Eola-Amity Hills),Keeler,2017.0,Pinot Gris,Oregon
381,15.0,Klinker Brick,Red,90,25.0,"A deep dark color leads to floral and cinnamon aromas, nicely concentrated blueberry and boysenberry flavors and a multi-layered texture due to fine-grained tannins. This wine has delicious richness and ripeness that outweigh the varietal's typical astringency.",Klinker Brick 2015 Petite Sirah (Lodi),Klinker Brick,2015.0,Petite Sirah,
382,14.4,"Santa Cruz Mountains, Central Coast, California, US",Red,90,55.0,"Smashed blackberry, roasted meats, asphalt and toasty oak aromas show strongly on the nose of this bottling from a vineyard off of Montebello Road. Very earthy flavors of tar and turned soil come through on the palate, framed by very dry tannins and a finishing with a hint of cocoa.",Left Bend 2014 Fellom Ranch Cabernet Sauvignon (Santa Cruz Mountains),Left Bend,2014.0,Cabernet Sauvignon,California
383,14.6,"Red Mountain, Columbia Valley, Washington, US",Red,90,40.0,"Coming from Ranch at the End of the Road Vineyard, aromas of blackberry and blue fruit are followed by ripe, full-bodied fruit flavors with slightly gritty tannins. It delivers a lot of hedonistic appeal.",Liberty Lake 2016 Reserve Syrah (Red Mountain),Liberty Lake,2016.0,Syrah,Washington
384,14.5,"Temecula Valley, South Coast, California, US",Red,90,95.0,"Big fat berries meet with turned loam and crushed slate on the approachable nose of this blend of Zinfandel, Syrah, Cabernet Franc, Cabernet Sauvignon and Merlot. Dried berry and potpourri flavors meet with popping acidity on the palate, which finishes on cocoa and mint spices.",Lorenzi Estate 2014 Catalyst Private Reserve Red (Temecula Valley),Lorenzi Estate,2014.0,Red Blend,California
385,14.1,"Sonoma Coast, Sonoma, California, US",Red,90,58.0,"Smoky and reduced, this is a dense, tannic and boldly flavored wine, its flavors a mix of black tea, baked orange and red currant. Baking spice notes pierce the finish.",MacRostie 2016 Rodgers Creek Vineyard Pinot Noir (Sonoma Coast),MacRostie,2016.0,Pinot Noir,California
386,14.1,"Sonoma Coast, Sonoma, California, US",Red,90,56.0,"This is a soft, delicate and lightly styled red from the appellation, earthy and quietly rich in caramelized oak and baked cherry. It has a nice balance of nutmeg and cola on the finish.",MacRostie 2016 Wildcat Mountain Pinot Noir (Sonoma Coast),MacRostie,2016.0,Pinot Noir,California
387,13.8,"Sonoma Coast, Sonoma, California, US",White,90,25.0,"This is a beautifully made wine, crispy in mineral elements and lovely layers of fig, Meyer lemon, tangerine and pear. Medium bodied, it holds its fruit and acidity well, with gritty layers of texture from start to finish.",Peter Paul Wines 2016 Live Free or Die Chardonnay (Sonoma Coast),Peter Paul Wines,2016.0,Chardonnay,California
388,13.7,"Monterey, Central Coast, California, US",Red,90,44.0,"Tar, forest floor and muddy earth aromas meet with wild berries on the nose of this blend of 52% Syrah and 48% Cabernet Sauvignon. Strong herb and mint flavors arise on the palate, giving complexity to the black-plum and cedar backdrop.",Pianetta 2016 Bilancio Syrah-Cabernet Sauvignon (Monterey),Pianetta,2016.0,Syrah,California
389,14.5,"Russian River Valley, Sonoma, California, US",Red,90,60.0,"Smoky oak and caramel enriched the expansive palate of this intense, ripe and powerful red that's black in brooding fruit and root beer. Well made in a big style, it finishes in mocha chocolate.",Sonoma-Loeb 2016 Apple Lane Pinot Noir (Russian River Valley),Sonoma-Loeb,2016.0,Pinot Noir,California
390,14.5,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,90,25.0,"Fruit for this wine is 43% Destiny Ridge, 30% Wallula, 14% Red Willow and 13% Stillwater Creek vineyards. Aromas of blueberry, herb and flower are followed by ripe but still in check blue and black fruit flavors that coat the palate but show a sense of elegance. Herbal notes persist on the finish. It brings a lot of appeal.",Structure 2016 Bauhaus Syrah (Columbia Valley (WA)),Structure,2016.0,Syrah,Washington
391,11.7,"Long Island, Long Island, New York, US",White,90,26.0,"This wine is intriguing in an earthy oolong note that's backed by ripe apricot and peach. It's well concentrated on the palate in these flavors, with a defined layer of acidity keeping it persistent and lengthy.",The Grapes of Roth 2017 Dry Riesling (Long Island),The Grapes of Roth,2017.0,Riesling,New York
392,15.0,"Suisun Valley, North Coast, California, US",Red,90,49.0,Rich boysenberry flavors and a hint of sweetness make this wine easy to sip in spite of its full body and rather thick tannins. It delivers blackberry-jam and mocha accents while the broad texture seems to coat the sides of the mouth.,Vezer Family Vineyard 2015 Cassie Petite Sirah (Suisun Valley),Vezer Family Vineyard,2015.0,Petite Sirah,California
393,15.0,"Napa Valley, Napa, California, US",Red,90,40.0,"This blend is rich in feel, with elongated tannins to support the full body. Elements of lavender and sage accent a core of black licorice and ripe plum on the palate.",William Hill Estate 2015 Bench Red (Napa Valley),William Hill Estate,2015.0,Red Blend,California
394,14.3,"Livermore Valley, Central Coast, California, US",White,90,30.0,"A hint of flowers in the aroma of this rich and full-bodied wine gives way to ripe fig, pear and honey flavors on the palate. It's so ripe that it verges on sweetness, and has an opulent, viscous texture that helps the honeyed character cling to the sides of the mouth for a lingering finish.",Wood Family Vineyards 2017 Para Mas Amigas Chardonnay (Livermore Valley),Wood Family Vineyards,2017.0,Chardonnay,California
395,14.4,"Monterey, Central Coast, California, US",White,90,35.0,"Tightly wound on the nose, this clonal combo offers citrusy aromas of grapefruit rind and sharp apple flesh on the nose. The palate is wrapped in a chalky, tight texture, revealing flavors of Anjou pear and Pink Lady apple.",Wrath 2016 3 Clone Chardonnay (Monterey),Wrath,2016.0,Chardonnay,California
396,12.8,"Willamette Valley, Willamette Valley, Oregon, US",White,90,18.0,"A fine example of the variety, this wine is crisply defined and brimming with a mix of grapefruit, melon and kiwi flavors. It is fruit driven for sure, but detailed and textural, with lingering fruit tones that wrap smoothly into a clean finish.",Apolloni 2017 Estate Pinot Blanc (Willamette Valley),Apolloni,2017.0,Pinot Blanc,Oregon
397,13.5,"Santa Ynez Valley, Central Coast, California, US",Red,90,50.0,"Sharp pomegranate aromas and concentrated strawberry tones meet with star anise, clove and crushed rocks on the nose of this single-vineyard expression. It's taut on the palate with tightly woven raspberry and a touch of thyme, proving rather light and easy.",Au Bon Climat 2015 Sanford & Benedict Vineyard Pinot Noir (Santa Ynez Valley),Au Bon Climat,2015.0,Pinot Noir,California
398,14.1,"Russian River Valley, Sonoma, California, US",White,90,39.0,"Made in an austere style, this has a backbone of tannin and power that builds on the midpalate, with the oak prominent and supportive. Meyer lemon and tangerine flavors are seasoned in touches of nutmeg and ginger, making for a balanced experience of fruit and spice.",Balletto 2015 Sexton Hill Vineyard Estate Grown Estate Bottled Chardonnay (Russian River Valley),Balletto,2015.0,Chardonnay,California
399,13.4,"Russian River Valley, Sonoma, California, US",White,90,20.0,"Thirst quenching in lemon, anise and wet stone, this is a steely, focused white that will appeal to fans of the unoaked style. It finishes on a lingering baked-bread tone.",Balletto 2017 Teresa's Unoaked Estate Grown Estate Bottled Chardonnay (Russian River Valley),Balletto,2017.0,Chardonnay,California
400,14.8,Beaulieu Vineyard,Red,90,20.0,"A great value from the great producer, this includes 5% Touriga, 4% Petite Sirah and 1% of mixed other grapes. Together, they offer juicy cherry notes and a big imprint of toasted tannin, the backbone of oak substantial yet soft and approachable. The finish is all mocha.",Beaulieu Vineyard 2015 Cabernet Sauvignon (Napa Valley),Beaulieu Vineyard,2015.0,Cabernet Sauvignon,
401,14.6,Beaulieu Vineyard,Red,90,45.0,Brawny char and dark chocolate create a stage for jammy black cherry and blackberry to star in this big-boned full-bodied wine. Generous use of oak and substantial tannin give it an oomph of power that persists through a soft rounded finish.,Beaulieu Vineyard 2015 Cabernet Sauvignon (Rutherford),Beaulieu Vineyard,2015.0,Cabernet Sauvignon,
402,14.3,Berryessa Gap,Red,90,28.0,"This is one of the lightest-tasting and most charming examples of a notoriously blunt and tannic varietal. Cherries and violets accent the aromas, bright black-cherry flavors brighten the palate and a moderately tannic texture gives a snap to the mouthfeel.",Berryessa Gap 2016 Petite Sirah (Yolo County),Berryessa Gap,2016.0,Petite Sirah,
403,14.1,Blue Rock,Red,90,49.0,This has lithe bright red fruit with a touch of blueberry—flavors that are integrated and elegantly interwoven. Polished tannins give it grip and weight within this medium-bodied approach. This wine enjoyable and approachable in its understated complexity.,Blue Rock 2015 Cabernet Sauvignon (Alexander Valley),Blue Rock,2015.0,Cabernet Sauvignon,
404,13.5,"Lake County, Lake County, California, US",White,90,16.0,"This is an aromatic, bone-dry wine that shows off the grape's floral side. It smells of jasmine, rose and lychee, tastes crisp and refreshing and finishes with an appetizing nip of astringency.",Bonterra 2017 Dry Muscat (Lake County),Bonterra,2017.0,Muscat,California
405,14.4,"Red Mountain, Columbia Valley, Washington, US",Red,90,60.0,"Made of 90% Cabernet Sauvignon, with the balance Merlot. Cherry, graphite, raspberry and herb aromas lead to even-keeled dark fruit flavors that break up a bit in the middle before pulling back together. The tannins come off as a bit gruff out of the gate but soften with significant time open. Give it some time or a very long decant. Best after 2022, and it has the stuffing to go well beyond that.",Cadence 2015 Camerata Cara Mia Vineyard Red (Red Mountain),Cadence,2015.0,Red Blend,Washington
406,13.8,"Dry Creek Valley, Sonoma, California, US",White,90,25.0,"This is a fruity white that is balanced by buoyant acidity. Fermented mostly in stainless steel, it offers defined flavors of lemon, melon and lime.",Cannonball 2017 Eleven Sauvignon Blanc (Dry Creek Valley),Cannonball,2017.0,Sauvignon Blanc,California
407,13.4,"Willamette Valley, Willamette Valley, Oregon, US",White,90,15.0,"Here is a very fine example of Oregon Pinot Gris. It pushes fresh apple and pear fruit right down the heart of the palate. It's full bodied and balanced, drinking at its youthful best already.",Cardwell Hill 2017 Estate Bottled Pinot Gris (Willamette Valley),Cardwell Hill,2017.0,Pinot Gris,Oregon
408,12.8,Cubanisimo Vineyards,White,90,18.0,"Bright fruit flavors blend apple and pear with spicy highlights. A hint of lemon rind adorns the finish. All in all, it's a tasty, well-made and totally enjoyable bottle.",Cubanisimo Vineyards 2017 Pinot Gris (Willamette Valley),Cubanisimo Vineyards,2017.0,Pinot Gris,
409,14.5,"Russian River Valley, Sonoma, California, US",Red,90,35.0,"Juicy in blue and black fruit, this is a thick, tangy and savory wine. Clove, forest floor and black tea play supporting roles on the palate. It's rich and will satisfy fans of a richer style of Pinot.",Davis Bynum 2016 Jane's VIneyard Pinot Noir (Russian River Valley),Davis Bynum,2016.0,Pinot Noir,California
410,14.5,"Napa Valley, Napa, California, US",Red,90,140.0,"This hearty red wine is a blend of 57% Cabernet Sauvignon, 37% Merlot, 5% Cabernet Franc and 1% Petit Verdot. The palate twists together flavors of cedar and sage with black cherry and blackberry, supported by a full-bodied, powerful structure.",Duckhorn 2014 The Discussion Red (Napa Valley),Duckhorn,2014.0,Red Blend,California
411,14.9,"Dry Creek Valley, Sonoma, California, US",Red,90,40.0,"Quiet aromatically, this bold, reserve-tier wine includes 8% Petite Sirah. Thick and softly layered in blue fruit, it also offers meaty leather and black pepper amongst waves of rich concentration.",Francis Coppola 2015 Reserve Syrah (Dry Creek Valley),Francis Coppola,2015.0,Syrah,California
412,14.7,"Napa Valley, Napa, California, US",Red,90,43.0,"Reduced at first, this wine comes around to reveal soft layers of baked plum, graham cracker and coffee. Full bodied and ripe, it offers a balanced oak nuance and a soft texture that speaks to the varietal character.",Grgich Hills 2015 Estate Grown Merlot (Napa Valley),Grgich Hills,2015.0,Merlot,California
